name,gender,sub1,sub2,sub3,sub4,lab1,lab2,year,dept,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,regno,password
Dinesh,m,66,20,55,39,19,24,4,CI,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1ZX04CI0,Di1ZX1924sh
Arvind Kumar Yadav,m,90,27,96,66,9,41,1,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01CS1,Ar1ZX941av
Nausad,m,65,69,1,56,31,45,1,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01IS1,Na1ZX3145ad
Md. Afsar,m,95,42,25,91,23,17,1,ME,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1ZX01ME1,Md1ZX2317ar
Shiv Shakti Singh,m,48,67,47,19,47,42,1,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1ZX01EC1,Sh1ZX4742gh
Moti Lal,m,28,72,79,37,29,8,1,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01EE1,Mo1ZX298al
Kausal Kumar,m,31,27,72,88,31,15,1,CI,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1ZX01CI1,Ka1ZX3115ar
Mohabbat Ali,m,87,27,32,43,27,16,2,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02CS1,Mo1ZX2716li
Jaswant Singh,m,24,84,53,89,42,7,2,IS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02IS1,Ja1ZX427gh
Sevak @ Pitambar Lal,m,77,74,68,80,8,39,2,ME,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02ME1,Se1ZX839al
Chotelal,m,49,99,82,1,41,47,2,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02EC1,Ch1ZX4147al
Rupesh,m,62,13,81,57,44,30,2,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1ZX02EE1,Ru1ZX4430sh
Midda,m,40,95,59,15,47,1,2,CI,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1ZX02CI1,Mi1ZX471da
Dharam Singh,m,76,21,33,10,28,17,3,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03CS1,Dh1ZX2817gh
Manoj Yadav @ Manoj,m,63,78,77,4,22,14,3,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1ZX03IS1,Ma1ZX2214oj
Preetam Kumar,m,2,69,44,75,45,41,3,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1ZX03ME1,Pr1ZX4541ar
Sarain,m,6,16,73,33,33,41,3,EC,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1ZX03EC1,Sa1ZX3341in
Pankaj Kumar,m,33,15,13,16,43,15,3,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1ZX03EE1,Pa1ZX4315ar
Sheak Shakir,m,27,42,74,23,17,29,3,CI,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03CI1,Sh1ZX1729ir
Riyasat Ali,m,36,27,54,60,46,32,4,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1ZX04CS1,Ri1ZX4632li
Vinit Katariya,m,91,67,97,32,48,43,4,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1ZX04IS1,Vi1ZX4843ya
Sumit,m,16,72,23,89,1,23,4,ME,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04ME1,Su1ZX123it
Arindra,m,75,40,66,5,12,28,4,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04EC1,Ar1ZX1228ra
Badshya Khan,m,12,52,47,78,3,48,4,EE,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04EE1,Ba1ZX348an
Vikash,m,66,55,3,52,17,13,4,CI,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04CI1,Vi1ZX1713sh
Devinder Chadda,m,73,67,33,32,15,29,1,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1ZX01CS2,De1ZX1529da
Mohan Singh,m,77,75,37,35,7,45,1,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01IS2,Mo1ZX745gh
Hemant,m,94,88,44,20,46,41,1,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1ZX01ME2,He1ZX4641nt
Shivam,m,54,37,98,7,49,12,1,EC,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01EC2,Sh1ZX4912am
Yash Mittal,m,44,48,20,58,38,11,1,EE,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01EE2,Ya1ZX3811al
Aakash,m,83,61,33,89,26,26,1,CI,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01CI2,Aa1ZX2626sh
Chandesh,m,85,45,50,14,26,46,2,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1ZX02CS2,Ch1ZX2646sh
Sumit Mitra,m,59,30,73,7,1,12,2,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1ZX02IS2,Su1ZX112ra
Supriyal Sen,m,82,45,9,95,16,29,2,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02ME2,Su1ZX1629en
Gajender Singh @ Goldy,m,18,10,35,80,41,14,2,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02EC2,Ga1ZX4114dy
Pooran Chand Sharma,m,45,29,90,65,28,4,2,EE,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02EE2,Po1ZX284ma
Azaruddin,m,77,2,37,38,14,40,2,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1ZX02CI2,Az1ZX1440in
Mukul Yadav,m,47,22,59,86,19,19,3,CS,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03CS2,Mu1ZX1919av
Manoj,m,68,71,56,19,6,1,3,IS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1ZX03IS2,Ma1ZX61oj
Sanjay Charee,m,59,1,77,30,44,24,3,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1ZX03ME2,Sa1ZX4424ee
Raja Babu,m,69,90,41,98,22,7,3,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03EC2,Ra1ZX227bu
Rajkumar Chawla,m,3,45,46,2,15,25,3,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03EE2,Ra1ZX1525la
Mohd Ataullah,m,94,96,17,76,37,44,3,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1ZX03CI2,Mo1ZX3744ah
Neeraj Kumar,m,65,92,59,68,9,6,4,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1ZX04CS2,Ne1ZX96ar
Jamil Khan,m,47,81,31,66,19,18,4,IS,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1ZX04IS2,Ja1ZX1918an
Rijul Aggarwal,m,6,70,32,34,34,3,4,ME,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04ME2,Ri1ZX343al
Mohd Shakib,m,83,41,85,35,44,6,4,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04EC2,Mo1ZX446ib
Rahul Kumar,m,8,43,90,58,43,43,4,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1ZX04EE2,Ra1ZX4343ar
Rajender,m,46,98,13,43,43,47,4,CI,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04CI2,Ra1ZX4347er
Suraj,m,73,17,81,51,4,24,1,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01CS3,Su1ZX424aj
Rizwan,m,1,94,15,8,40,30,1,IS,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01IS3,Ri1ZX4030an
Md Mustafa,m,70,79,9,95,30,29,1,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01ME3,Md1ZX3029fa
Har Parsad,m,37,52,34,1,42,27,1,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1ZX01EC3,Ha1ZX4227ad
Rahul,m,84,20,75,57,30,40,1,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01EE3,Ra1ZX3040ul
Abhishekh,m,37,61,19,76,13,8,1,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01CI3,Ab1ZX138kh
Shelender Yadav,m,54,9,69,75,22,43,2,CS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02CS3,Sh1ZX2243av
Ankit,m,80,46,52,18,39,11,2,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02IS3,An1ZX3911it
Mohd Aakib,m,80,93,99,27,38,42,2,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02ME3,Mo1ZX3842ib
Surender Singh Chauhan,m,20,50,51,59,31,8,2,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02EC3,Su1ZX318an
Arjun,m,44,40,73,87,4,22,2,EE,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02EE3,Ar1ZX422un
Rahul Sharma,m,24,70,57,42,49,46,2,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02CI3,Ra1ZX4946ma
Keshar Ansari,m,90,49,74,70,27,22,3,CS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1ZX03CS3,Ke1ZX2722ri
Raju @ Chhotu,m,1,63,86,28,3,3,3,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03IS3,Ra1ZX33tu
Kuldeep Singh,m,21,27,4,7,39,1,3,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03ME3,Ku1ZX391gh
Santlal@Golu,m,95,62,48,48,16,47,3,EC,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03EC3,Sa1ZX1647lu
Lalit Rana,m,71,34,88,78,42,24,3,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1ZX03EE3,La1ZX4224na
Pulkit Sharma,m,52,22,67,16,42,13,3,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03CI3,Pu1ZX4213ma
Aman Soni @ Badal,m,29,77,5,88,23,8,4,CS,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1ZX04CS3,Am1ZX238al
Jahoor Ahmed Meer,m,81,64,33,4,7,28,4,IS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04IS3,Ja1ZX728er
Tammanne,m,70,6,37,63,33,25,4,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1ZX04ME3,Ta1ZX3325ne
Kailash Kumar,m,68,74,84,96,1,7,4,EC,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1ZX04EC3,Ka1ZX17ar
Bhagwati Prasad,m,96,53,35,28,22,25,4,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04EE3,Bh1ZX2225ad
Ajay,m,27,61,47,72,30,15,4,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1ZX04CI3,Aj1ZX3015ay
Silender,m,59,98,99,55,18,31,1,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1ZX01CS4,Si1ZX1831er
Akhilesh,m,36,20,54,20,37,26,1,IS,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01IS4,Ak1ZX3726sh
Dipendra Kumar,m,51,48,51,10,47,27,1,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01ME4,Di1ZX4727ar
Nitin,m,86,42,55,97,23,42,1,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01EC4,Ni1ZX2342in
Doodhnath Pandit,m,98,34,15,43,48,26,1,EE,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1ZX01EE4,Do1ZX4826it
Aslam Allam,m,79,56,5,70,45,12,1,CI,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1ZX01CI4,As1ZX4512am
Jitender Kumar,m,26,28,23,53,24,8,2,CS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02CS4,Ji1ZX248ar
Adnan,m,55,67,96,49,18,41,2,IS,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02IS4,Ad1ZX1841an
Vijay,m,81,96,97,33,34,6,2,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1ZX02ME4,Vi1ZX346ay
Kabir,m,10,39,90,61,37,16,2,EC,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02EC4,Ka1ZX3716ir
Rakesh Sarkar,m,65,33,90,12,22,20,2,EE,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02EE4,Ra1ZX2220ar
Akash Gupta,m,28,16,75,35,8,40,2,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02CI4,Ak1ZX840ta
Pintu Thakur,m,37,91,19,42,16,6,3,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03CS4,Pi1ZX166ur
Vivek,m,76,47,13,56,18,3,3,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1ZX03IS4,Vi1ZX183ek
Mohd Khairul,m,21,4,62,18,16,34,3,ME,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1ZX03ME4,Mo1ZX1634ul
Farmaan Khan,m,57,19,4,39,46,18,3,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1ZX03EC4,Fa1ZX4618an
Vansu Dev,m,78,14,82,70,3,41,3,EE,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1ZX03EE4,Va1ZX341ev
Shyam Kumar,m,90,66,45,62,20,12,3,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX03CI4,Sh1ZX2012ar
Shafibul,m,43,95,23,7,16,16,4,CS,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04CS4,Sh1ZX1616ul
Lalit Kathuriya,m,91,94,34,40,48,24,4,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04IS4,La1ZX4824ya
Pooran Chand,m,37,29,97,43,36,47,4,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX04ME4,Po1ZX3647nd
Aamir Hussain,m,46,55,51,51,34,37,4,EC,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1ZX04EC4,Aa1ZX3437in
Kamal Jit Singh,m,65,34,75,7,19,48,4,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1ZX04EE4,Ka1ZX1948gh
Shiv Kumar,m,51,1,69,22,23,5,4,CI,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1ZX04CI4,Sh1ZX235ar
Mayank Chaudhary @ Rahul,m,30,24,32,95,12,21,1,CS,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01CS5,Ma1ZX1221ul
Som Dutt,m,20,39,58,41,45,10,1,IS,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01IS5,So1ZX4510tt
Bablu Regar,m,54,23,23,80,49,8,1,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01ME5,Ba1ZX498ar
Rajkumar,m,32,96,17,56,4,45,1,EC,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01EC5,Ra1ZX445ar
Mubarik,m,38,98,62,16,40,43,1,EE,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX01EE5,Mu1ZX4043ik
Sarbjeet @ Ronak,m,91,85,82,36,18,7,1,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1ZX01CI5,Sa1ZX187ak
Axat,m,72,2,75,7,32,43,2,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1ZX02CS5,Ax1ZX3243at
